part_num,label_text,short_name,description,brief,status,old_location,location,min_quantity,total_on_hand,latest_inventory_num,latest_inventory_date,latest_backstock_num,latest_backstock_date,max_quantity,unit,%_on_hand,2017 restock: date order placed,price_per,supplier,brand,series,manufacturer_part_number,supplier_part_number,purchase_link,alternate/old_purchase_link,info_link,image_link,"Status (discontinued/obsolete/no longer required, etc.)",Serial #,inventory1,inventory2,inventory3,inventory4,inventory5,inventory6,inventory7,inventory8,inventory9,inventory10,inventory11,inventory12,inventory13,inventory14,inventory15,inventory16,inventory17,inventory18,inventory19,inventory20,,,back_stock1,back_stock2,back_stock3,back_stock4,back_stock5,back_stock6,back_stock7,back_stock8,back_stock9,back_stock10,back_stock11,back_stock12,back_stock13,back_stock14,back_stock15,back_stock16,back_stock17,back_stock18,back_stock19,back_stock20,
0675,surface mount screw terminals,surface mount screw terminals,"screw terminal, surface mount, ""Euro-style"", two screws per connector, rated to 300V and 10A per pair, 22–14AWG stranded/solid wire, 10mm spacing",,Active,B1-R5-C3,Connector: Wire to Wire,10,21,6,5/18/23,15,5/18/23,,strip of 12,210%,,$1.75,MPJA,,,,32940 TS,https://www.mpja.com/Terminal-Strip-12-Position-Euro-Style-10A/productinfo/32940+TS/,,,,,,0:10/21/21,20:11/2/21,17:12/20/21,12:5/24/22,6:5/18/23,,,,,,,,,,,,,,,,,,9:2/8/22,9:5/24/22,15:5/18/23,,,,,,,,,,,,,,,,,,
0040,,JST cable,"cable, JST 2-pin",,Discontinued,discontinued,discontinued,5,1,1,1/9/20,0,6/30/21,10,,20%,,$0.84,Arrow,,,,,https://www.arrow.com/en/products/261/adafruit-industries,,,,,U63777B4J120803,15:6/21/17,0:12/11/17,1:5/24/18,,1:1/8/2019,21:01/11/19,1:05/17/19,1:05/17/19,1:01/09/20,0:6/16/21,,,,,,,,,,,,,0:6/30/21,,,,,,,,,,,,,,,,,,,,
0042,,JST cable,"cable, 3-pin female JST PH-style, 30cm, with male pins for 0.1"" housings",,To discontinue,B1-R5-C4,Connector: Misc.,5,4,4,5/18/23,0,5/18/23,10,,80%,,$1.12,Pololu,Sharp,,,1799,http://www.pololu.com/product/1799,,,,,,10:6/21/17,3:12/11/17,0:5/24/18,2:6/19/18,1:1/8/2019,1:05/17/19,20:08/12/19,10:6/16/21,8:12/20/21,7:5/24/22,4:5/18/23,,,,,,,,,,,,0:6/30/21,0:5/24/22,0:5/18/23,,,,,,,,,,,,,,,,,,
0044,,butt connector,"connector, 3M Scotchlok IDC Butt Connector, UY2",,To discontinue,B1-R6-C1,Connector: Wire to Wire,20,70,70,5/18/23,0,5/18/23,100,,350%,,$0.15,Amazon,3M,,UY2,,https://www.amazon.com/3M-Scotchlok-Butt-Connector-Yellow/dp/B0076AY6J8,,http://solutions.3m.com/wps/portal/3M/en_US/NA_Communication_Technologies/Home/Products/~/3M-Scotchlok-IDC-Butt-Connector-UY2?N=7569738+3294261084&rt=rud,,,,12:6/21/17,4:12/11/17,104:12/20/18,75:5/24/18,100:1/8/2019,102:05/17/19,101:6/16/21,120:12/20/21,100:5/24/22,70:5/18/23,,,,,,,,,,,,,0:6/30/21,0:5/24/22,0:5/18/23,,,,,,,,,,,,,,,,,,
0048,3-wire lever connector,3-wire lever connector,"lever connector, Wago, 3-wire, JET 20A@300V, 24/32A@400V","These lever nuts can be used to easily connect 3 wires electrically. Lift the lever to open the connecting jaw for a single wire, push the wire in, and then push the lever back down to hold the wire and complete the connection.",Active,B1-R6-C2,Connector: Wire to Wire,20,120,40,6/6/23,80,6/17/23,50,,600%,,$0.30,Amazon,Wago,,,,https://www.amazon.com/WAGO-222-413-LEVER-NUTS-Conductor-Connectors/dp/B000JJPA66,http://www.ebay.com/itm/5-Pack-Wago-Lever-Nuts-3X-block-style-electrical-connector-28-12-ga-clamp-on-/261081634629,,,,,25:6/21/17,25:12/11/17,23:5/24/18,12:1/8/2019,5:05/17/19,55:09/17/19,55:6/16/21,42:12/20/21,16:5/24/22,40:6/6/23,,,,,,,,,,,,,0:6/30/21,0:5/24/22,0:5/18/23,50:6/6/23,80:6/17/23,,,,,,,,,,,,,,,,
0046,5-wire lever connector,5-wire lever connector,"lever connector, Wago, 5-wire, JET 20A@300V, 24/32A@400V","These lever nuts can be used to easily connect 5 wires electrically. Lift the lever to open the connecting jaw for a single wire, push the wire in, and then push the lever back down to hold the wire and complete the connection.",Active,B1-R6-C3,Connector: Wire to Wire,20,9,9,6/6/23,0,5/18/23,100,,45%,,$0.86,eBay,Wago,,"	
222-415",,https://www.ebay.com/itm/175706115127,http://www.ebay.com/itm/5-Pack-Wago-Lever-Nuts-5X-block-style-electrical-connector-28-12-ga-clamp-on-/261081637575,,,,,34:6/21/17,33:12/11/17,30:5/24/18,30:1/8/2019,22:05/17/19,19:6/16/21,16:12/20/21,30:5/24/22,9:6/6/23,,,,,,,,,,,,,,0:6/30/21,0:5/24/22,0:5/18/23,,,,,,,,,,,,,,,,,,
0107,2-circuit lever connector,2-circuit lever connector,"lever connector, Wago, 2-circuit, 28–12AWG, 32A@400V",,Active,B1-R6-C4,Connector: Wire to Wire,10,65,20,6/6/23,45,6/6/23,50,,650%,,$0.50,Amazon,YYuan,,,,https://smile.amazon.com/gp/product/B07Y66R1ZQ,,,,,,0:2/24/22,50:3/15/22,30:5/24/22,15:5/18/23,20:6/6/23,,,,,,,,,,,,,,,,,,0:5/24/22,0:5/18/23,45:6/6/23,,,,,,,,,,,,,,,,,,
,,Empty,,,,B9-R1-C1,B9-R1-C1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0054,,10pF ceramic capacitor,"capacitor, ceramic, 10pF, 50V, 20%","Capacitors can be used to store electrical energy to be released later (for instance, in a camera flashbulb), to filter out unwanted electrical noise (for instance, to remove the high-frequency jitter of an analog sensor), or for many other purposes in a circuit.",,B9-R1-C2,Electrical Components: Capacitors ,10,#REF!,20,5/16/2023,#REF!,,,,,,,Jameco,,,DC10/50,15333,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?productId=15333,,,,,,10:6/21/17,15:12/11/17,14:5/24/18,7:1/8/2019,6:5/20/19,30:7/29/19,30:6/18/21,30:12/20/21,30:5/24/22,20:5/16/23,,,,,,,,,,,,,0:5/24/22,,,,,,,,,,,,,,,,,,,,
0056,,ceramic capacitor,"capacitor, ceramic, 22pF, 50V, 20%","Capacitors can be used to store electrical energy to be released later (for instance, in a camera flashbulb), to filter out unwanted electrical noise (for instance, to remove the high-frequency jitter of an analog sensor), or for many other purposes in a circuit.",,B9-R1-C3,Electrical Components: Capacitors ,10,30,30,5/16/23,0,5/16/23,100,,300%,,$0.10,Jameco,,,DC22,15405,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?productId=15405,,,,,,10:6/21/17,8:12/11/17,8:5/24/18,18:8/17/18,15:1/8/2019,10:5/20/19,40:07/29/19,35:6/18/21,32:12/20/21,35:5/24/22,30:5/16/23,,,,,,,,,,,,0:5/24/22,0:5/16/23,,,,,,,,,,,,,,,,,,,
0058,,47pF ceramic capacitor,"capacitor, ceramic, 47pF, 50V, 20%","Capacitors can be used to store electrical energy to be released later (for instance, in a camera flashbulb), to filter out unwanted electrical noise (for instance, to remove the high-frequency jitter of an analog sensor), or for many other purposes in a circuit.",,B9-R1-C4,Electrical Components: Capacitors ,10,30,30,5/16/23,,,100,,300%,,$0.12,Jameco,,,DC47-VP-R,15512,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?productId=15512,,,,,,12:6/21/17,12:12/11/17,15:5/24/18,3:1/8/2019,3:5/20/19,28:07/29/19,29:6/18/21,28:12/20/21,30:5/24/22,30:5/16/23,,,,,,,,,,,,,0:5/24/22,0:5/16/23,,,:6/6/23,,,,,,,,,,,,,,,,
0060,,100pF ceramic capacitor,"capacitor, ceramic, 100pF, 50V, 20%","Capacitors can be used to store electrical energy to be released later (for instance, in a camera flashbulb), to filter out unwanted electrical noise (for instance, to remove the high-frequency jitter of an analog sensor), or for many other purposes in a circuit.",,B9-R1-C5,Electrical Components: Capacitors ,20,40,40,5/16/23,0,5/16/23,100,each,200%,,$0.13,Digi-Key,Kemet,,C318C101M5R5TA,399-14085-ND,https://www.digikey.com/en/products/detail/kemet/C318C101M5R5TA/6562496,,,,,,10:6/21/17,5:12/11/17,2:5/24/18,0:1/8/2019,0:5/20/19,27:6/18/21,30:12/20/21,0:5/24/22,50:11/9/22,40 :5/16/23,,,,,,,,,,,,,0:5/24/22,0:5/16/23,,,,,,,,,,,,,,,,,,,
0062,,ceramic capacitor,"capacitor, ceramic, 470pF, 50V, 20%","Capacitors can be used to store electrical energy to be released later (for instance, in a camera flashbulb), to filter out unwanted electrical noise (for instance, to remove the high-frequency jitter of an analog sensor), or for many other purposes in a circuit.",,B9-R1-C6,Electrical Components: Capacitors ,10,30,30,5/16/23,0,5/16/23,100,each,300%,,$0.11,Digi-Key,,,K471K15X7RF53L2,K471K15X7RF53L2-ND,https://www.digikey.com/en/products/detail/K471K15X7RF53L2/2823130,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?productId=15528,,,,,15:6/21/17,8:12/11/17,9:5/24/18,19:8/17/18,10:1/8/2019,5:5/20/19,30:07/29/19,0:01/09/20,0:01/09/20,0:6/18/21,0:12/20/21,30:5/24/22,30:5/16/23,,,,,,,,,,0:1/25/22,0:5/24/22,50:8/24/22,0:5/16/23,,,,,,,,,,,,,,,,,
0064,,ceramic capacitor,"capacitor, ceramic, 0.001uF, 50V, 20%","Capacitors can be used to store electrical energy to be released later (for instance, in a camera flashbulb), to filter out unwanted electrical noise (for instance, to remove the high-frequency jitter of an analog sensor), or for many other purposes in a circuit.",,B9-R1-C7,Electrical Components: Capacitors ,10,20,20,5/16/23,0,5/16/23,100,,200%,,$0.10,Jameco,,,DC.001,15190,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10001&freeText=15190&langId=-1&productId=15190&storeId=10001&krypto=8kjlDsNklOAAOpzNYeZEfAKWPxcg51nJ8AdOplSdmVQqZHZFggTEehTk7nyLQ7wGX6NOkx7a8e2qMVhZPg9l7IPmSU2R5jpz%2BxU5KVP76ls%3D&ddkey=https%3AStoreCatalogDrillDownView,,,,,,10:6/21/17,5:12/11/17,25:2/26/18,25:5/24/18,15:1/8/2019,15:5/20/19,40:07/29/19,39:6/18/21,44:12/20/21,40:5/24/22,20:5/16/23,,,,,,,,,,,,0:5/24/22,0:5/16/23,,,,,,,,,,,,,,,,,,,
